Neighborhood,Community area,Side,Status,Latitude,Longitude
Albany Park,Albany Park,Far North,recognized,41.9683269,-87.7280279
Altgeld Gardens,Riverdale,Far Southeast,unofficial,41.6541653,-87.5996863
Andersonville,Edgewater,Far North,recognized,41.9816581,-87.6684762
Archer Heights,Archer Heights,Southwest,recognized,41.8079,-87.72358510000001
Armour Square,Armour Square,South,unofficial,41.8407554,-87.63401859999999
Ashburn Estates,Ashburn,Far Southwest,unclear,41.7496899,-87.71200669999999
Avalon Park,Avalon Park,Far Southeast,recognized,41.7442016,-87.58557569999999
Polish Village,Avondale,North,recognized,41.9415011,-87.70250209999999
Avondale Gardens,Irving Park,Northwest,unclear,41.9651348,-87.75257959999999
Back of the Yards,New City,Southwest,recognized,41.8066775,-87.6679765
Belmont Central,Belmont Cragin,Northwest,unclear,41.9274631,-87.7783025
Belmont Gardens,Hermosa,Northwest,unclear,41.9316982,-87.7343478
Belmont Heights,Dunning,Northwest,unclear,41.9451265,-87.8143316
Belmont Terrace,Dunning,Northwest,unclear,41.9414218,-87.83287120000001
Beverly,Beverly,Far Southwest,recognized,41.7171204,-87.6761796
Beverly View,Ashburn,Far Southwest,unclear,41.7485315,-87.6815352
Beverly Woods,Morgan Park,Far Southwest,unclear,41.6809765,-87.6831485
Big Oaks,Norwood Park,Far North,unofficial,41.9721668,-87.7986628
Boystown,Lake View,North,unofficial,41.9439979,-87.6473853
Bowmanville,Lincoln Square,Far North,unofficial,41.9780271,-87.6789573
Brainerd,Washington Heights,Far Southwest,unclear,41.7268436,-87.6530693
Brickyard,Belmont Cragin,Northwest,unclear,41.9284572,-87.7873882
Bridgeport,Bridgeport,South,recognized,41.8364162,-87.6486609
Brighton Park,Brighton Park,Southwest,recognized,41.8170843,-87.69942689999999
Bronzeville,Douglas / Grand Boulevard / Oakland,South,recognized,41.8166444,-87.6167744
Bucktown,Logan Square,North,recognized,41.9227067,-87.68027479999999
Budlong Woods,Lincoln Square,Far North,unofficial,41.9795048,-87.6966206
Buena Park,Uptown,Far North,unofficial,41.95767559999999,-87.650714
Burnside,Burnside,Far Southeast,recognized,41.7281304,-87.5964182
Cabrini–Green,Near North Side,Central,unclear,41.9010905,-87.64146360000001
Calumet Heights,Calumet Heights,Far Southeast,recognized,41.7298307,-87.57047639999999
Canaryville,New City,Southwest,unofficial,41.8135786,-87.6408469
Central Station,Near South Side,Central,unofficial,41.8646077,-87.62153819999999
Chicago Lawn,Chicago Lawn,Southwest,unofficial,41.7718392,-87.6931785
Chinatown,Armour Square,South,recognized,41.850691,-87.63404899999999
Chrysler Village,Clearing,Southwest,unofficial,41.7763868,-87.7519502
Clarendon Park,Uptown,Far North,unclear,41.9633603,-87.6486024
Clearing East,Clearing,Southwest,unclear,41.77660179999999,-87.7446449
Clearing West,Clearing,Southwest,unclear,41.7789975,-87.78259039999999
Cottage Grove Heights,Pullman,Far Southeast,unclear,41.718128,-87.5964313
Cragin,Belmont Cragin,Northwest,recognized,41.9313989,-87.7564561
Crestline,Ashburn,Far Southwest,unclear,41.7442851,-87.7248012
Dearborn Homes,Douglas,South,unclear,41.8430889,-87.6278291
Dearborn Park,Near South Side,Central,unclear,41.8664289,-87.62899949999999
Douglas Park,North Lawndale,West,unclear,41.8593746,-87.6950899
Dunning,Dunning,Northwest,recognized,41.9452601,-87.8070003
East Beverly,Beverly,Far Southwest,unclear,41.7062606,-87.66299269999999
East Chatham,Chatham,Far Southeast,unclear,41.7481345,-87.60135679999999
East Garfield Park,East Garfield Park,West,unofficial,41.8810352,-87.70118459999999
East Hyde Park,Hyde Park,South,unclear,41.79627809999999,-87.58530429999999
East Pilsen,Lower West Side,West,unclear,41.8576838,-87.6418826
East Side,East Side,Far Southeast,recognized,41.70799419999999,-87.535173
East Village,West Town,West,unclear,41.8998114,-87.67229379999999
Eden Green,Riverdale,Far Southeast,unclear,41.6541056,-87.6154657
Edgebrook,Forest Glen,Far North,unofficial,41.9973418,-87.7621724
Edgewater,Edgewater,Far North,recognized,41.9836852,-87.66011410000002
Edgewater Beach,Edgewater,Far North,unclear,41.985577,-87.6552269
Edgewater Glen,Edgewater,Far North,unclear,41.9930252,-87.6653544
Edison Park,Edison Park,Far North,recognized,42.00351870000001,-87.8171492
Englewood,Englewood,Southwest,recognized,41.775305,-87.6416419
Fernwood,Roseland,Far Southeast,unofficial,41.7070703,-87.6335706
Fifth City,East Garfield Park,West,unclear,41.8783073,-87.7111039
Ford City,West Lawn,Southwest,unclear,41.7567469,-87.73249469999999
Forest Glen,Forest Glen,Far North,recognized,41.9961676,-87.76422149999999
Fuller Park,Fuller Park,South,unofficial,41.8090919,-87.6333765
Fulton River District,Near West Side,West,unofficial,41.8894949,-87.6433644
Gage Park,Gage Park,Southwest,recognized,41.7935203,-87.7035777
Galewood,Austin,West,recognized,41.9145056,-87.7925095
